slug,NFTcount
0,cryptokitties,200
1,cryptopunks,200
2,decentraland,200
3,boredapeyachtclub,198
4,mutant-ape-yacht-club,197
5,meebits,197
6,cool-cats-nft,200
7,sorare,200
8,parallelalpha,143
9,cryptoadz-by-gremplin,200
10,0n1-force,200
11,mekaverse,200
12,pudgypenguins,198
13,zed-run,199
14,fidenza-by-tyler-hobbs,200
15,hashmasks,198
16,bored-ape-kennel-club,200
17,veefriends,198
18,creatureworld,197
19,axie,200
20,doodles-official,200
21,lostpoets,194
22,world-of-women-nft,199
23,the-doge-pound,199
24,ringers-by-dmitri-cherniak,200
25,sneaky-vampire-syndicate,196
26,lazy-lions,199
